date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:28	950574/950574	---M-Z	200	added ('OK')	text/html	etag:W/%2231c86-K/fMnGg5SZ/qZgyAYfYFG+4KwlI%22	https://www.1288bets10.com/tr	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/tr.html	(from )
15:48:29	95/95	---M--	200	added ('OK')	text/plain	etag:W/%225f-4oTYZXS98oK6+tmvEM5anGw/us4%22	https://www.1288bets10.com/robots.txt		(from )
15:48:29	222/222	---M-Z	200	added ('OK')	application/xml	etag:W/%22a6-192b518a058%22	https://www.1288bets10.com/assets/favicons/browserconfig.xml	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/assets/favicons/browserconfig.xml	(from https://www.1288bets10.com/tr)
15:48:29	386643/386643	---M-Z	200	added ('OK')	text/css	etag:W/%22c10f-192b896c2b9%22	https://www.1288bets10.com/assets/bets10.theme.e9593d8a9cd20cf9354606297f9d3b7c.css	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/assets/bets10.theme.e9593d8a9cd20cf9354606297f9d3b7c.css	(from https://www.1288bets10.com/tr)
15:48:29	446/446	---M--	200	added ('OK')	application/json	etag:W/%221be-192b51715d0%22	https://www.1288bets10.com/assets/manifest.json	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/assets/manifest.json	(from https://www.1288bets10.com/tr)
15:48:29	8729/8729	---M--	200	added ('OK')	image/png	etag:W/%222219-192b51715d0%22	https://www.1288bets10.com/assets/favicons/apple-touch-icon.png	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/assets/favicons/apple-touch-icon.png	(from https://www.1288bets10.com/tr)
15:48:30	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:W/%22da4-192b518a058%22	https://www.1288bets10.com/assets/favicons/favicon.ico	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.1288bets10.com/assets/favicons/favicon.ico	(from https://www.1288bets10.com/tr)
15:48:30	22970/22970	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f87e01b3f2b024942b9a77d12241521%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-gaming/5f6e6f9c/app-gaming/app-gaming.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-gaming/5f6e6f9c/app-gaming/app-gaming.esm.js	(from https://www.1288bets10.com/tr)
15:48:31	16575/16575	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da680899e1b705f243bdffddec5cb4a2%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-site/a779e33e/app-site/app-site.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-site/a779e33e/app-site/app-site.esm.js	(from https://www.1288bets10.com/tr)
15:48:31	2287/2287	---MCZ	200	added ('OK')	application/javascript	etag:W/%22536a7787db994c6fe243ca4dfbb773a9%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-customer/5ec2718e/app-customer/app-customer.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-customer/5ec2718e/app-customer/app-customer.esm.js	(from https://www.1288bets10.com/tr)
15:48:31	126/126	---M--	200	added ('OK')	application/javascript	etag:%2249277f2366148452dfa23e95b400edf6%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-horse-racing/index-881a09b6.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-horse-racing/index-881a09b6.esm.js	(from https://www.1288bets10.com/tr)
15:48:32	800/800	---M--	200	added ('OK')	application/javascript	etag:%22b058a04e0200289ba2f60204b9da2256%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-offers/5ec2718e/app-offers/app-offers.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-offers/5ec2718e/app-offers/app-offers.esm.js	(from https://www.1288bets10.com/tr)
15:48:32	9281/9281	---MCZ	200	added ('OK')	application/javascript	etag:W/%229083c54a5a76ea0141ace900dcd82837%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-websson-design-system/5ec2718e/lib-websson-design-system/lib-websson-design-system.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-websson-design-system/5ec2718e/lib-websson-design-system/lib-websson-design-system.esm.js	(from https://www.1288bets10.com/tr)
15:48:32	24687/24687	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273ff4358f85db72674e683b56cba74e3%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-fabric-icons/6a5afdc2/lib-fabric-icons/lib-fabric-icons.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-fabric-icons/6a5afdc2/lib-fabric-icons/lib-fabric-icons.esm.js	(from https://www.1288bets10.com/tr)
15:48:32	15364/15364	---MCZ	200	added ('OK')	application/javascript	etag:W/%2203782fe7cc6b33d6073d7cfdf608786e%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-account/7c84debd/app-account/app-account.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-account/7c84debd/app-account/app-account.esm.js	(from https://www.1288bets10.com/tr)
15:48:33	226576/226576	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d61db17e0386caa944182362df0b64df%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-telemetry/5bc55000/svc-telemetry/svc-telemetry.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-telemetry/5bc55000/svc-telemetry/svc-telemetry.esm.js	(from https://www.1288bets10.com/tr)
15:48:33	225/225	---M--	200	added ('OK')	application/javascript	etag:%22091a2955b955ab53dad79fb50bad2670%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-wallet/87754042/app-wallet/app-wallet.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/app-wallet/87754042/app-wallet/app-wallet.esm.js	(from https://www.1288bets10.com/tr)
15:48:33	109184/109184	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b94927350c4e7dc25156f3d89b0d3768%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-platform/c39eb30e/svc-platform/svc-platform.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-platform/c39eb30e/svc-platform/svc-platform.esm.js	(from https://www.1288bets10.com/tr)
15:48:34	114055/114055	---MCZ	200	added ('OK')	application/javascript	etag:W/%2242d56377c17a2f23324b5d956d2e395b%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-content/5ec2718e/svc-content/svc-content.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-content/5ec2718e/svc-content/svc-content.esm.js	(from https://www.1288bets10.com/tr)
15:48:34	39566/39566	---MCZ	200	added ('OK')	application/javascript	etag:W/%221aeb7e14da5eb8db52f65fcc96ed6236%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-config/5ec2718e/svc-config/svc-config.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-config/5ec2718e/svc-config/svc-config.esm.js	(from https://www.1288bets10.com/tr)
15:48:34	21544/21544	---MCZ	200	added ('OK')	application/javascript	etag:W/%220435dd18a1c089b750ebfcabd1e67e3a%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-request/3226f4d2/svc-request/svc-request.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/svc-request/3226f4d2/svc-request/svc-request.esm.js	(from https://www.1288bets10.com/tr)
15:48:34	5413/5413	---MCZ	200	added ('OK')	application/javascript	etag:W/%222be69aedef16b0d0ff0f4bf717116d13%22	https://cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-fabric-design-system/5ec2718e/lib-fabric-design-system/lib-fabric-design-system.esm.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/nodestatic/obg/mfe-fed/lib-fabric-design-system/5ec2718e/lib-fabric-design-system/lib-fabric-design-system.esm.js	(from https://www.1288bets10.com/tr)
15:48:34	5506/5506	---MCZ	200	added ('OK')	text/css	etag:W/%2291daa586ad0e4cdc77b6f5bfe47408a8%22	https://cdnroute.bpsgameserver.com/global-assets/themes/bets10/designsystem.css	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/global-assets/themes/bets10/designsystem.css	(from https://www.1288bets10.com/tr)
15:48:35	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Oct%202024%2012:46:51%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Benim%20Web%20Sitem/web_bahis_kopy/www.googletagmanager.com/gtm.175445.delayed	(from https://www.1288bets10.com/tr)
15:48:35	8944/8944	---MCZ	200	added ('OK')	text/css	etag:W/%22a371a399746c051904b8fed1f468331f%22	https://cdnroute.bpsgameserver.com/global-assets/fonts/fontfaces.css	C:/Benim%20Web%20Sitem/web_bahis_kopy/cdnroute.bpsgameserver.com/global-assets/fonts/fontfaces.css	(from https://www.1288bets10.com/tr)
15:48:36	9354/9354	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2029%20Sep%202024%2017:05:39%20GMT	http://browser-update.org/update.min.js	C:/Benim%20Web%20Sitem/web_bahis_kopy/browser-update.org/update.min.js	(from https://www.1288bets10.com/tr)
